customer_id,customer_name,gender,date_of_birth,city,state,pincode,registration_date,acquisition_channel,customer_segment,is_repeat_customer,churn_risk,customer_lifetime_value
1,Rohan Mehta,Female,1979-01-30,Jaipur,Rajasthan,302039,2025-01-15,Marketplace Campaign,High Value,Yes,Medium,23189
2,Tanvi Chowdhury,Female,1976-09-11,Kolkata,West Bengal,700094,2025-11-18,Paid Search,At Risk,No,Medium,9692
3,Nikhil Joshi,Male,1978-10-11,Patna,Bihar,800039,2025-10-11,Direct,New,No,Medium,42152
4,Sneha Mukherjee,Male,1978-09-25,Delhi,Delhi,110011,2026-01-28,Paid Search,New,No,Medium,45139
5,Sneha Kulkarni,Male,2001-08-10,Indore,Madhya Pradesh,452022,2026-04-20,Referral,High Value,Yes,Medium,33880
6,Ananya Deshmukh,Female,1972-11-01,Hyderabad,Telangana,500087,2025-07-29,Affiliate,High Value,Yes,Low,11428
7,Kavya Agarwal,Male,1988-01-26,Jaipur,Rajasthan,302095,2024-08-05,Social Media,New,No,Low,29287
8,Ananya Nair,Male,2005-05-06,Hyderabad,Telangana,500033,2025-06-15,Paid Search,New,No,Medium,16107
9,Vivaan Kumar,Male,1996-04-11,Jaipur,Rajasthan,302048,2025-09-06,Direct,New,No,Medium,20163
10,Manish Verma,Male,1980-04-23,Ahmedabad,Gujarat,380022,2026-01-07,Direct,New,No,High,16434
11,Ananya Mehta,Female,1985-04-19,Jaipur,Rajasthan,302038,2026-01-23,Direct,New,Yes,Low,29335
12,Priya Bhat,Female,1979-05-14,Mumbai,Maharashtra,400090,2024-08-15,Organic Search,New,Yes,High,26726
13,Sanjay Gupta,Male,2003-08-04,Kolkata,West Bengal,700080,2025-04-22,Organic Search,New,Yes,Low,46213
14,Meera Chowdhury,Female,1973-04-13,Chennai,Tamil Nadu,600013,2026-04-05,Marketplace Campaign,New,Yes,High,26798
15,Arjun Chowdhury,Female,1995-12-15,Pune,Maharashtra,411073,2025-11-24,Organic Search,New,Yes,High,15676
16,Priya Sharma,Female,1973-08-02,Delhi,Delhi,110065,2025-12-13,Marketplace Campaign,New,No,High,15309
17,Ishaan Chatterjee,Male,1996-02-01,Lucknow,Uttar Pradesh,226059,2024-10-13,Social Media,At Risk,No,Low,3903
18,Shreya Kulkarni,Female,1994-07-10,Ahmedabad,Gujarat,380080,2025-01-09,Social Media,New,No,Medium,7157
19,Deepak Reddy,Male,1986-01-19,Jaipur,Rajasthan,302051,2024-12-07,Paid Search,At Risk,No,Medium,21683
20,Krishna Agarwal,Male,1998-03-21,Pune,Maharashtra,411082,2026-01-12,Marketplace Campaign,New,Yes,Low,18800
21,Rahul Agarwal,Male,1988-03-15,Indore,Madhya Pradesh,452024,2025-11-12,Social Media,New,Yes,Low,8787
22,Krishna Bhat,Male,1975-04-09,Hyderabad,Telangana,500095,2024-11-30,Referral,High Value,Yes,Low,20998
23,Rahul Sharma,Female,1977-09-01,Chennai,Tamil Nadu,600067,2025-08-02,Paid Search,New,No,High,13827
24,Swati Bhat,Female,1971-02-07,Mumbai,Maharashtra,400046,2024-12-21,Referral,At Risk,Yes,Medium,6031
25,Ananya Chowdhury,Male,1967-09-21,Indore,Madhya Pradesh,452021,2025-07-07,Paid Search,New,Yes,Medium,19103
26,Shreya Chatterjee,Male,1969-08-21,Kolkata,West Bengal,700099,2026-06-21,Marketplace Campaign,At Risk,No,High,38167
27,Vikram Joshi,Male,1990-05-09,Patna,Bihar,800035,2025-09-13,Social Media,New,Yes,Low,46602
28,Ananya Mukherjee,Female,2003-05-29,Jaipur,Rajasthan,302058,2025-01-10,Organic Search,New,Yes,High,2067
29,Nisha Nair,Male,1973-02-07,Jaipur,Rajasthan,302024,2024-08-23,Organic Search,New,No,High,12936
30,Deepak Joshi,Female,1998-04-26,Indore,Madhya Pradesh,452045,2024-08-21,Organic Search,At Risk,Yes,High,18008
31,Shreya Chowdhury,Female,2006-01-28,Ahmedabad,Gujarat,380073,2026-01-19,Direct,High Value,No,High,28572
32,Riya Joshi,Female,1991-05-21,Jaipur,Rajasthan,302034,2026-04-29,Organic Search,New,No,Medium,37541
33,Riya Sen,Male,1997-10-19,Indore,Madhya Pradesh,452020,2025-07-11,Paid Search,New,Yes,High,18397
34,Kirti Mukherjee,Female,1970-08-22,Chennai,Tamil Nadu,600042,2024-09-26,Organic Search,High Value,Yes,Medium,29630
35,Neha Rao,Female,1987-02-05,Kochi,Kerala,682027,2024-11-05,Organic Search,New,No,High,13050
36,Alok Singh,Female,1992-11-30,Patna,Bihar,800063,2026-01-24,Marketplace Campaign,New,Yes,Low,20528
37,Poonam Bhat,Male,1966-12-21,Delhi,Delhi,110054,2026-05-12,Organic Search,New,No,Low,41681
38,Rajesh Singh,Female,1983-10-27,Patna,Bihar,800095,2025-01-12,Marketplace Campaign,High Value,No,Medium,41542
39,Arjun Chowdhury,Male,2002-04-07,Chennai,Tamil Nadu,600094,2025-06-26,Organic Search,High Value,Yes,High,49891
40,Diya Sen,Female,1976-12-23,Chennai,Tamil Nadu,600028,2025-05-26,Social Media,New,Yes,Low,19811
41,Vivaan Singh,Male,2004-06-20,Kolkata,West Bengal,700038,2025-11-25,Social Media,High Value,Yes,Medium,12069
42,Kirti Singh,Female,2004-02-24,Delhi,Delhi,110010,2025-03-25,Paid Search,New,No,High,17073
43,Aadhya Patel,Male,2006-05-26,Patna,Bihar,800077,2025-08-27,Organic Search,New,No,High,41069
44,Nisha Verma,Female,1971-05-23,Jaipur,Rajasthan,302086,2025-08-11,Organic Search,High Value,Yes,High,31432
45,Sunita Patel,Male,1975-10-02,Kolkata,West Bengal,700080,2026-05-22,Social Media,New,No,Medium,36665
46,Ananya Gupta,Male,1997-07-18,Lucknow,Uttar Pradesh,226083,2024-10-24,Affiliate,New,Yes,High,28344
47,Amit Sen,Male,1992-05-30,Ahmedabad,Gujarat,380031,2025-05-28,Referral,New,Yes,High,12330
48,Alok Verma,Male,1993-10-05,Patna,Bihar,800025,2025-05-30,Social Media,Returning,No,Low,4731
49,Sunita Sharma,Male,1998-05-24,Hyderabad,Telangana,500070,2024-10-28,Paid Search,New,Yes,Medium,8478
50,Vivaan Singh,Female,1994-02-11,Delhi,Delhi,110060,2025-03-20,Direct,New,Yes,Medium,30561
51,Aarav Kulkarni,Female,1973-05-18,Pune,Maharashtra,411022,2025-05-25,Direct,New,No,Medium,10254
52,Gaurav Patel,Female,1998-07-15,Patna,Bihar,800042,2026-02-07,Organic Search,High Value,No,High,21433
53,Rajesh Patel,Female,1977-04-03,Indore,Madhya Pradesh,452061,2024-12-18,Organic Search,New,No,High,39047
54,Rajesh Rao,Male,1990-01-21,Ahmedabad,Gujarat,380070,2025-05-13,Affiliate,New,No,High,42254
55,Divya Chatterjee,Male,1981-09-03,Indore,Madhya Pradesh,452069,2024-09-28,Organic Search,New,Yes,Medium,22154
